,s,date,time,open,high,low,close,volume,volume_tf
73,ok,2022-11-11,12:54:00,42356.0,42372.75,42326.9,42333.0,32950,False
74,ok,2022-11-11,12:57:00,42334.1,42363.7,42318.5,42325.1,19300,False
75,ok,2022-11-11,13:00:00,42323.8,42330.0,42261.2,42280.0,58625,True
76,ok,2022-11-11,13:03:00,42278.0,42308.0,42271.0,42303.8,20225,False
77,ok,2022-11-11,13:06:00,42300.0,42360.05,42293.5,42355.0,25475,False
78,ok,2022-11-11,13:09:00,42355.0,42383.0,42343.6,42361.4,97400,True
79,ok,2022-11-11,13:12:00,42361.2,42361.2,42319.0,42325.0,11075,False
80,ok,2022-11-11,13:15:00,42322.6,42353.6,42311.35,42337.9,16425,False
81,ok,2022-11-11,13:18:00,42342.0,42355.5,42321.4,42336.0,11525,False
82,ok,2022-11-11,13:21:00,42340.0,42341.35,42318.95,42330.2,8800,False
83,ok,2022-11-11,13:24:00,42325.0,42336.0,42304.05,42304.1,23400,False
84,ok,2022-11-11,13:27:00,42297.0,42320.35,42275.0,42284.6,35500,False
85,ok,2022-11-11,13:30:00,42284.6,42301.05,42273.05,42273.9,65275,True
86,ok,2022-11-11,13:33:00,42275.1,42321.4,42273.4,42310.9,18225,False
87,ok,2022-11-11,13:36:00,42306.9,42306.85,42258.8,42278.9,26100,False
88,ok,2022-11-11,13:39:00,42278.9,42300.0,42262.2,42273.2,21800,False
89,ok,2022-11-11,13:42:00,42271.0,42290.35,42265.9,42290.4,16575,False
90,ok,2022-11-11,13:45:00,42289.0,42303.9,42274.5,42278.2,9300,False
91,ok,2022-11-11,13:48:00,42278.2,42278.25,42252.15,42257.1,27850,False
92,ok,2022-11-11,13:51:00,42257.1,42265.15,42239.0,42265.1,20200,False
93,ok,2022-11-11,13:54:00,42265.1,42265.15,42232.0,42261.9,16625,False
94,ok,2022-11-11,13:57:00,42264.6,42326.9,42253.15,42326.9,36950,False
95,ok,2022-11-11,14:00:00,42330.0,42341.75,42286.65,42305.9,44725,False
96,ok,2022-11-11,14:03:00,42305.9,42305.95,42262.4,42282.4,8200,False
97,ok,2022-11-11,14:06:00,42280.0,42299.8,42268.2,42294.4,6750,False
98,ok,2022-11-11,14:09:00,42294.4,42300.0,42280.0,42282.1,10350,False
99,ok,2022-11-11,14:12:00,42282.1,42311.0,42279.15,42310.1,4850,False
100,ok,2022-11-11,14:15:00,42302.8,42341.8,42297.9,42331.6,24725,False
101,ok,2022-11-11,14:18:00,42331.6,42338.5,42305.9,42320.1,6850,False
102,ok,2022-11-11,14:21:00,42311.6,42349.9,42310.05,42337.9,12575,False
103,ok,2022-11-11,14:24:00,42337.8,42364.4,42327.8,42361.0,16475,False
104,ok,2022-11-11,14:27:00,42363.9,42366.95,42290.1,42290.1,16650,False
105,ok,2022-11-11,14:30:00,42292.2,42310.55,42259.8,42297.3,41225,False
106,ok,2022-11-11,14:33:00,42301.8,42343.0,42291.0,42322.0,32325,False
107,ok,2022-11-11,14:36:00,42322.0,42347.7,42319.4,42334.8,22075,False
108,ok,2022-11-11,14:39:00,42331.1,42375.0,42330.05,42364.4,49675,False
109,ok,2022-11-11,14:42:00,42363.4,42373.05,42332.75,42337.1,31475,False
110,ok,2022-11-11,14:45:00,42336.4,42362.75,42311.45,42313.4,19225,False
111,ok,2022-11-11,14:48:00,42313.4,42349.95,42304.55,42329.9,12050,False
112,ok,2022-11-11,14:51:00,42329.8,42345.0,42301.05,42337.0,12450,False
113,ok,2022-11-11,14:54:00,42333.1,42343.25,42310.0,42315.4,6725,False
114,ok,2022-11-11,14:57:00,42315.4,42320.0,42295.1,42312.1,12300,False
115,ok,2022-11-11,15:00:00,42305.4,42344.8,42296.05,42323.6,18900,False
116,ok,2022-11-11,15:03:00,42324.6,42327.9,42307.0,42322.2,10900,False
117,ok,2022-11-11,15:06:00,42322.2,42328.0,42308.2,42328.0,22400,False
118,ok,2022-11-11,15:09:00,42327.1,42327.1,42275.0,42280.9,53425,True
119,ok,2022-11-11,15:12:00,42280.6,42299.0,42280.0,42283.1,33875,False
120,ok,2022-11-11,15:15:00,42284.0,42293.2,42250.05,42263.1,52600,True
121,ok,2022-11-11,15:18:00,42263.1,42274.75,42257.1,42266.1,31500,False
122,ok,2022-11-11,15:21:00,42270.8,42306.65,42263.0,42300.0,55350,True
123,ok,2022-11-11,15:24:00,42300.0,42305.45,42292.0,42300.6,50325,True
124,ok,2022-11-11,15:27:00,42300.4,42303.25,42290.0,42295.0,64350,True
